tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037264305,85493,1725,Low Income,No,No,Yes,District 3,Los Angeles - Brentwood,SPA 5 - West,3799,14595887.88,19041.33218
6037264306,94313,989,Low Income,No,No,Yes,District 3,Los Angeles - Brentwood,SPA 5 - West,3800,3884954.243,8953.877187
6037265100,103750,1303,Above Moderate Income,No,No,No,District 3,Los Angeles - Westwood,SPA 5 - West,3801,25359898.28,23623.53091
6037265201,117798,863,Above Moderate Income,No,No,No,District 3,Los Angeles - Westwood,SPA 5 - West,3802,4644328.417,11660.50755
6037265203,56656,1059,Very Low Income,Yes,No,Yes,District 3,Los Angeles - Westwood,SPA 5 - West,3803,3384581.377,8364.391716
6037265204,108295,639,Above Moderate Income,No,No,No,District 3,Los Angeles - Westwood,SPA 5 - West,3804,2769406.648,7451.480282
6037265301,,0,,,,,District 3,Los Angeles - Westwood,SPA 5 - West,3805,17371241.08,20071.7787
6037265303,29375,1563,Extremely Low Income,Yes,Yes,Yes,District 3,Los Angeles - Westwood,SPA 5 - West,3806,1594116.397,5706.964201
6037265304,20343,857,Extremely Low Income,Yes,Yes,Yes,District 3,Los Angeles - Westwood,SPA 5 - West,3807,1394810.988,5790.8978
6037265306,15417,496,Extremely Low Income,Yes,Yes,Yes,District 3,Los Angeles - Westwood,SPA 5 - West,3808,961217.959,4565.474167
6037265307,16772,1145,Extremely Low Income,Yes,Yes,Yes,District 3,Los Angeles - Westwood,SPA 5 - West,3809,2468513.828,7795.626288
6037265410,105625,697,Above Moderate Income,No,No,No,District 3,Los Angeles - Brentwood,SPA 5 - West,3810,7638860,15973.55043
