Ticket number,Issue Date,RP State Plate,Make,Location,Violation code,Violation Description,Fine amount,Latitude,Longitude,year,csa,ami_category
4528820940,04/13/2021,CA,NISS,3513 POMONA ST,80.69BS,NO PARK/STREET CLEAN,73.0,34.07866132679124,-118.2038809007196,2021,Lincoln Heights,Very Low Income
4522600563,01/07/2021,NV,TOYT,600 WESTLAKE AV S,80.69BS,NO PARK/STREET CLEAN,73.0,34.05899299913798,-118.2736349992814,2021,Westlake,Very Low Income
4539325081,11/16/2021,CA,DODG,701 DETROIT ST S,88.13B+,METER EXP.,63.0,34.06219299776704,-118.34514000364764,2021,Miracle Mile,Low Income
4537593653,10/28/2021,CA,HOND,745 MAIN ST S,80.69B,NO PARKING,73.0,34.04338423426357,-118.2521758392974,2021,Downtown,Very Low Income
4524060516,01/13/2021,CA,HYUN,1632 CATALINA ST S,80.69BS,NO PARK/STREET CLEAN,73.0,34.04377144752692,-118.29434536038191,2021,Harvard Heights,Very Low Income
4535786334,09/07/2021,CA,FORD,9718 CASHIO ST,22500F,PARKED ON SIDEWALK,68.0,34.05233912032771,-118.39924010148283,2021,Beverlywood,Above Moderate Income
4537708140,10/23/2021,CA,BMW,505 FIGUEROA ST N,80.56E4+,RED ZONE,93.0,34.0522066321272,-118.25721289988306,2021,Downtown,Low Income
4536269076,09/21/2021,CA,NISS,6500 LEXINGTON AVE,80.58L,PREFERENTIAL PARKING,68.0,34.092542999755786,-118.33154300097235,2021,Hollywood,Low Income
4530197195,05/14/2021,CA,HOND,11675 MAGNOLIA BL,80.69BS,NO PARK/STREET CLEAN,73.0,34.164886095385945,-118.3869603658959,2021,Valley Village,Low Income
4538741712,11/18/2021,CA,JEEP,1100 LEMOYNE ST,80.58L,PREFERENTIAL PARKING,68.0,34.07567400050048,-118.26052199968991,2021,Echo Park,Low Income
4527645430,03/24/2021,CA,HYUN,600 DUNSMUIR AV,88.13B+,METER EXP.,63.0,34.06489499994806,-118.348275001045,2021,Miracle Mile,Low Income
4530700241,05/27/2021,CA,AUDI,1220 HOPE ST S,88.13B+,METER EXP.,63.0,34.04055912303143,-118.2646273092682,2021,Downtown,Above Moderate Income
4540122683,12/06/2021,CA,TOYT,11809 MAGNOLIA BLVD,80.69C,PARKED OVER TIME LIMIT,58.0,34.16487959461913,-118.39015902664707,2021,Valley Village,Above Moderate Income
4539716252,12/01/2021,CA,CHEV,4610 5TH AVE,5204A-,DISPLAY OF TABS,25.0,34.00122468923822,-118.3224847673624,2021,Leimert Park,Very Low Income
4528433534,04/01/2021,CA,TOYT,10457 LINDBROOK DR,80.69BS,NO PARK/STREET CLEAN,73.0,34.066579506754294,-118.43162420726811,2021,Westwood,Above Moderate Income
4526175500,03/05/2021,WA,MERZ,8055 3RD ST W,22507.8A-,DISABLED PARKING/NO DP ID,363.0,34.071983333921544,-118.36483025016145,2021,Carthay,Above Moderate Income
4530405806,05/19/2021,CA,LNDR,946 HILGARD AV,80.66.1D,RESTRICTED TAXI ZONE,68.0,34.06290586215619,-118.44139654033462,2021,Westwood,Above Moderate Income
4529685915,05/19/2021,CA,CHEV,428 55TH ST W,80.69BS,NO PARK/STREET CLEAN,73.0,33.99238399968197,-118.28142114753572,2021,West Vernon,Extremely Low Income
4539188452,11/22/2021,CA,JEEP,3250 WILSHIRE BL W,80.70,NO STOPPING/ANTI-GRIDLOCK ZONE,163.0,34.06178546232818,-118.29300192442791,2021,Koreatown,Very Low Income
4531352641,06/04/2021,CA,HYUN,5130 MARTIN ST,22500F,PARKED ON SIDEWALK,68.0,34.08059004891667,-118.17102433515026,2021,El Sereno,Low Income
4534767591,08/12/2021,CA,NISS,12000 DEHOUGNE ST,80.69BS,NO PARK/STREET CLEAN,73.0,34.1958360004544,-118.39430800391193,2021,North Hollywood,Low Income
4525063502,01/26/2021,CA,TOYT,154 AVENUE 24,88.63B+,OFF STR/OVERTIME/MTR,58.0,34.07452600048449,-118.21695700158799,2021,Lincoln Heights,Very Low Income
4526057605,02/11/2021,CA,FORD,645 9TH ST W,80.69AP+,NO STOP/STANDING,93.0,34.045436053461515,-118.26085041965732,2021,Downtown,Above Moderate Income
4533636240,07/27/2021,CA,KIA,14500 FRIAR ST,88.13B+,METER EXP.,63.0,34.18567100265706,-118.44871400561715,2021,Van Nuys,Very Low Income
4539714583,11/22/2021,CA,UNK,100 102ND ST W,5200,DISPLAY OF PLATES,25.0,33.9437529952117,-118.27387400130907,2021,Vermont Vista,Very Low Income
4538806801,11/05/2021,CA,FORD,300 WESTLAKE AV S,80.61,STANDNG IN ALLEY,68.0,34.06242600042946,-118.27144599988422,2021,Temple-Beaudry,Very Low Income
4526830486,03/05/2021,CA,HYUN,101 3RD ST W,88.13B+,METER EXP.,63.0,34.049559999692924,-118.24585300092092,2021,Downtown,Very Low Income
4537465391,10/08/2021,CA,NISS,1620 BROCKTON AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.03950473270412,-118.45959099725353,2021,West Los Angeles,Above Moderate Income
4527427542,03/19/2021,CA,NISS,2101 6TH ST E,5204A-,DISPLAY OF TABS,25.0,34.05953700015629,-118.27485500084869,2021,Westlake,Very Low Income
4530606334,05/19/2021,CA,KIA,3782 WISCONSIN ST,5204A-,DISPLAY OF TABS,25.0,34.017690905297016,-118.29307045760925,2021,Exposition Park,Extremely Low Income
4537604116,10/28/2021,CA,LINC,1720 WESTMORELAND AVE S,80.69BS,NO PARK/STREET CLEAN,73.0,34.0426469924291,-118.28961700430104,2021,Pico-Union,Very Low Income
4527775685,04/12/2021,CA,TOYT,100 FIGUEROA ST S,80.69A+,STOP/STAND PROHIBIT,93.0,34.057769000210186,-118.25197300006882,2021,Downtown,Low Income
4524615126,01/26/2021,CA,TOYT,12737 HORTENSE ST,80.69BS,NO PARK/STREET CLEAN,73.0,34.154896270713635,-118.41021355406505,2021,Sherman Oaks,Above Moderate Income
4531353676,06/10/2021,CA,TOYT,1200 CUMMINGS ST N,88.13B+,METER EXP.,63.0,34.0584409991064,-118.20584300252956,2021,Boyle Heights,Very Low Income
4526982331,03/16/2021,CA,HYUN,10034 WESTERN AVE S,5204A-,DISPLAY OF TABS,25.0,33.94519734441572,-118.3090076852866,2021,Gramercy Place,Low Income
4533494276,07/27/2021,CA,HOND,3001 7TH ST W,88.13B+,METER EXP.,63.0,34.05978099962977,-118.28908500279007,2021,Wilshire Center,Extremely Low Income
4537465435,10/08/2021,CA,NISS,11983 WALNUT LANE,80.69BS,NO PARK/STREET CLEAN,73.0,34.037261142260704,-118.45912693920886,2021,West Los Angeles,Low Income
4529511420,05/19/2021,CA,SUBA,120 AVENUE 57 N,80.69BS,NO PARK/STREET CLEAN,73.0,34.11008477109339,-118.19323178237971,2021,Highland Park,Low Income
4537793912,10/21/2021,CA,FORD,100 WITMER ST,80.61,STANDNG IN ALLEY,68.0,34.06232299923583,-118.26064199908916,2021,Historic Filipinotown,Very Low Income
4525666025,02/05/2021,CA,HOND,5326 AVALON BLVD S,80.69C,PARKED OVER TIME LIMIT,58.0,33.99394187338334,-118.26519947332196,2021,Vernon Central,Very Low Income
4536234010,09/17/2021,CA,TOYT,1600 ORANGE DR N,80.69AP+,NO STOP/STANDING,93.0,34.099985172029584,-118.34139465503273,2021,Hollywood,Low Income
4535246030,09/03/2021,CA,BMW,501 127TH ST W,80.56E4+,RED ZONE,93.0,33.91761599485143,-118.28285100360308,2021,Harbor Gateway,Low Income
